Campaign,Month,Day of the Week,Date,City,Channel,Device,Ad,Impressions,CTR,Clicks,Daily Average CPC,"Spend, GBP",Conversions,"Total conversion value, GBP",Likes (Reactions),Shares,Comments
Spring ,Mar,Thu,23 March 2023,Birmingham,Facebook,Desktop,Collection,1290.40,1.3%,17,0.10,1.75,2,58.46,20,2,3
Spring ,Mar,Fri,24 March 2023,Birmingham,Facebook,Desktop,Collection,1336.60,1.1%,14,0.16,2.28,5,49.92,49,2,3
Spring ,Mar,Sat,25 March 2023,Birmingham,Facebook,Desktop,Collection,1315.60,1.4%,19,1.47,27.31,2,46.08,19,12,2
Spring ,Mar,Sun,26 March 2023,Birmingham,Facebook,Desktop,Collection,1479.00,1.9%,28,0.98,27.32,2,13.44,23,21,2
Spring ,Mar,Mon,27 March 2023,Birmingham,Facebook,Desktop,Collection,1472.20,2.0%,29,0.32,9.39,4,24.96,59,12,3
Spring ,Mar,Tue,28 March 2023,Birmingham,Facebook,Desktop,Collection,1356.00,1.1%,15,1.25,19.38,1,35.52,33,1,11
Spring ,Mar,Wed,29 March 2023,Birmingham,Facebook,Desktop,Collection,904.00,1.3%,12,1.32,15.30,5,10.56,22,18,8
Spring ,Mar,Thu,30 March 2023,Birmingham,Facebook,Desktop,Collection,1424.20,1.6%,23,0.67,15.39,3,52.42,34,4,3
Spring ,Mar,Fri,31 March 2023,Birmingham,Facebook,Desktop,Collection,1372.80,1.0%,14,0.05,0.64,1,56.45,49,2,6
Spring ,Apr,Sat,01 April 2023,Birmingham,Facebook,Desktop,Collection,807.00,1.2%,10,0.47,4.49,0,43.01,60,13,11
Spring ,Apr,Sun,02 April 2023,Birmingham,Facebook,Desktop,Collection,1011.40,1.9%,19,0.18,3.50,0,59.14,50,14,5
Spring ,Apr,Mon,03 April 2023,Birmingham,Facebook,Desktop,Collection,1605.00,1.6%,25,0.87,22.02,3,57.79,8,3,2
Spring ,Apr,Tue,04 April 2023,Birmingham,Facebook,Desktop,Collection,1111.00,1.9%,21,0.72,15.29,5,23.04,15,16,3
Spring ,Apr,Wed,05 April 2023,Birmingham,Facebook,Desktop,Collection,1035.80,1.4%,14,0.90,12.64,5,16.32,46,13,6
Spring ,Apr,Thu,06 April 2023,Birmingham,Facebook,Desktop,Collection,957.20,1.2%,11,0.84,9.40,3,57.60,37,1,8
Spring ,Apr,Fri,07 April 2023,Birmingham,Facebook,Desktop,Collection,1057.80,1.7%,18,1.22,22.44,3,35.52,60,7,5
Spring ,Apr,Sat,08 April 2023,Birmingham,Facebook,Desktop,Collection,1459.60,1.7%,24,0.08,1.94,3,23.04,20,5,9
Spring ,Apr,Sun,09 April 2023,Birmingham,Facebook,Desktop,Collection,1062.20,1.2%,13,0.58,7.51,4,43.68,48,11,9
Spring ,Apr,Mon,10 April 2023,Birmingham,Facebook,Desktop,Collection,1137.40,1.5%,17,0.31,5.30,5,1.92,22,12,0
Spring ,Apr,Tue,11 April 2023,Birmingham,Facebook,Desktop,Collection,1158.00,1.3%,15,0.43,6.41,2,45.02,49,2,6
Spring ,Apr,Wed,12 April 2023,Birmingham,Facebook,Desktop,Collection,1227.20,1.2%,14,0.35,4.91,5,22.08,13,3,0
Spring ,Apr,Thu,13 April 2023,Birmingham,Facebook,Desktop,Collection,1416.20,1.8%,25,1.02,25.51,3,38.40,55,2,9
Spring ,Apr,Fri,14 April 2023,Birmingham,Facebook,Desktop,Collection,1042.00,1.8%,19,0.68,12.94,0,50.88,40,1,9
Spring ,Apr,Sat,15 April 2023,Birmingham,Facebook,Desktop,Collection,896.60,1.4%,12,0.49,6.07,2,8.64,50,3,0
Spring ,Apr,Sun,16 April 2023,Birmingham,Facebook,Desktop,Collection,1483.40,1.3%,20,1.29,25.60,2,36.48,11,3,0
Spring ,Apr,Mon,17 April 2023,Birmingham,Facebook,Desktop,Collection,724.60,1.2%,9,1.45,12.60,4,0.96,24,4,9
Spring ,Apr,Tue,18 April 2023,Birmingham,Facebook,Desktop,Collection,931.20,1.5%,14,0.68,9.29,0,95.42,53,24,8
Spring ,Apr,Wed,19 April 2023,Birmingham,Facebook,Desktop,Collection,863.00,1.2%,10,0.86,8.86,0,51.74,25,1,9
Spring ,Apr,Thu,20 April 2023,Birmingham,Facebook,Desktop,Collection,1147.00,1.5%,18,0.85,14.93,4,131.71,41,8,0
Spring ,Apr,Fri,21 April 2023,Birmingham,Facebook,Desktop,Collection,1421.40,1.8%,25,0.15,3.76,1,144.48,32,9,11
Spring ,Apr,Sat,22 April 2023,Birmingham,Facebook,Desktop,Collection,1060.00,1.8%,19,1.43,27.21,4,210.34,61,2,5
Spring ,Apr,Sun,23 April 2023,Birmingham,Facebook,Desktop,Collection,829.00,1.6%,13,1.44,18.71,3,102.14,73,22,8
Spring ,Apr,Mon,24 April 2023,Birmingham,Facebook,Desktop,Collection,971.20,1.8%,17,0.44,7.55,2,57.12,70,9,2
Spring ,Apr,Tue,25 April 2023,Birmingham,Facebook,Desktop,Collection,1084.60,1.4%,15,0.84,12.47,2,56.64,27,23,3
Spring ,Apr,Wed,26 April 2023,Birmingham,Facebook,Desktop,Collection,1448.20,1.8%,26,0.76,19.90,2,47.04,82,4,8
Spring ,Apr,Thu,27 April 2023,Birmingham,Facebook,Desktop,Collection,1066.80,1.8%,19,1.54,28.93,4,53.09,74,16,9
Spring ,Apr,Fri,28 April 2023,Birmingham,Facebook,Desktop,Collection,1753.00,1.6%,27,1.01,27.50,2,7.68,67,11,2
Spring ,Apr,Sat,29 April 2023,Birmingham,Facebook,Desktop,Collection,1474.20,1.5%,23,1.18,26.89,3,33.60,70,3,3
Spring ,Apr,Sun,30 April 2023,Birmingham,Facebook,Desktop,Collection,980.80,1.0%,10,1.10,11.15,0,55.78,28,0,6
Spring ,May,Mon,01 May 2023,Birmingham,Facebook,Desktop,Collection,1495.60,1.2%,19,1.44,26.66,4,42.34,66,5,9
Spring ,May,Tue,02 May 2023,Birmingham,Facebook,Desktop,Collection,1519.40,1.3%,20,0.49,9.92,3,43.68,70,5,5
Spring ,May,Wed,03 May 2023,Birmingham,Facebook,Desktop,Collection,1335.40,1.4%,19,0.99,18.62,0,92.06,57,1,0
Spring ,May,Thu,04 May 2023,Birmingham,Facebook,Desktop,Collection,1128.80,1.4%,15,1.29,19.63,1,35.52,12,17,9
Spring ,May,Fri,05 May 2023,Birmingham,Facebook,Desktop,Collection,770.20,1.6%,12,0.43,5.15,1,32.64,50,20,11
Spring ,May,Sat,06 May 2023,Birmingham,Facebook,Desktop,Collection,1307.60,1.5%,20,0.98,19.17,3,81.98,16,22,8
Spring ,May,Sun,07 May 2023,Birmingham,Facebook,Desktop,Collection,867.60,1.7%,14,1.64,23.68,2,92.74,24,17,9
Spring ,May,Mon,08 May 2023,Birmingham,Facebook,Desktop,Collection,1138.20,1.4%,16,0.39,6.36,2,183.46,58,7,3
Spring ,May,Tue,09 May 2023,Birmingham,Facebook,Desktop,Collection,837.80,1.4%,12,1.75,20.80,5,18.24,42,9,8
Spring ,May,Wed,10 May 2023,Birmingham,Facebook,Desktop,Collection,773.60,1.4%,11,0.82,9.10,3,14.40,9,21,8
Spring ,May,Thu,11 May 2023,Birmingham,Facebook,Desktop,Collection,1337.20,1.4%,19,1.32,24.58,3,42.24,61,1,5
Spring ,May,Fri,12 May 2023,Birmingham,Facebook,Desktop,Collection,1588.20,1.5%,23,0.61,14.23,3,50.88,48,3,6
Spring ,May,Sat,13 May 2023,Birmingham,Facebook,Desktop,Collection,870.60,2.0%,17,0.38,6.51,2,46.08,66,3,11
Spring ,May,Sun,14 May 2023,Birmingham,Facebook,Desktop,Collection,926.40,1.8%,17,0.68,11.25,4,2.88,54,4,2
Spring ,May,Mon,15 May 2023,Birmingham,Facebook,Desktop,Collection,1438.60,1.2%,17,1.31,22.44,5,13.44,53,12,0
Spring ,May,Tue,16 May 2023,Birmingham,Facebook,Desktop,Collection,1242.20,2.0%,24,1.45,35.46,3,3.84,79,7,2
Spring ,May,Wed,17 May 2023,Birmingham,Facebook,Desktop,Collection,1567.60,1.7%,26,0.45,11.74,5,26.88,53,8,5
Spring ,May,Thu,18 May 2023,Birmingham,Facebook,Desktop,Collection,1502.60,1.5%,22,1.46,32.04,4,8.64,28,23,0
Spring ,May,Fri,19 May 2023,Birmingham,Facebook,Desktop,Collection,1299.00,1.4%,18,1.10,19.36,4,52.80,76,2,3
Spring ,May,Sat,20 May 2023,Birmingham,Facebook,Desktop,Collection,1495.40,1.8%,28,0.67,18.35,2,46.37,76,1,2
Spring ,May,Sun,21 May 2023,Birmingham,Facebook,Desktop,Collection,1034.80,1.3%,14,0.40,5.58,2,12.48,54,16,2
Spring ,May,Mon,22 May 2023,Birmingham,Facebook,Desktop,Collection,1395.80,1.1%,16,0.79,12.63,0,169.34,54,4,8
Spring ,May,Tue,23 May 2023,Birmingham,Facebook,Desktop,Collection,842.60,1.5%,12,1.20,14.81,2,85.34,45,9,12
Spring ,May,Wed,24 May 2023,Birmingham,Facebook,Desktop,Collection,1593.00,1.8%,28,1.47,41.27,3,152.54,25,15,6
Spring ,May,Thu,25 May 2023,Birmingham,Facebook,Desktop,Collection,1734.60,1.7%,29,0.58,16.86,5,63.84,45,5,0
Spring ,May,Fri,26 May 2023,Birmingham,Facebook,Desktop,Collection,1465.80,1.2%,18,0.90,15.78,0,95.42,62,2,6
Spring ,May,Sat,27 May 2023,Birmingham,Facebook,Desktop,Collection,1732.40,1.8%,31,0.94,29.24,2,122.30,61,1,2
Spring ,May,Sun,28 May 2023,Birmingham,Facebook,Desktop,Collection,1104.80,1.3%,14,1.35,18.73,2,179.42,30,2,8
Spring ,May,Mon,29 May 2023,Birmingham,Facebook,Desktop,Collection,786.00,1.7%,13,0.98,13.06,3,28.80,57,2,9
Spring ,May,Tue,30 May 2023,Birmingham,Facebook,Desktop,Collection,1082.00,1.4%,15,0.35,5.23,0,167.33,23,16,6
Spring ,May,Wed,31 May 2023,Birmingham,Facebook,Desktop,Collection,907.40,1.9%,17,0.90,15.38,4,69.22,50,18,9
Spring ,Jun,Thu,01 June 2023,Birmingham,Facebook,Desktop,Collection,505.00,1.5%,7,0.52,3.82,3,49.92,30,13,0
Spring ,Jun,Fri,02 June 2023,Birmingham,Facebook,Desktop,Collection,588.00,1.3%,8,0.77,5.98,3,138.43,72,1,6
Spring ,Jun,Sat,03 June 2023,Birmingham,Facebook,Desktop,Collection,494.30,1.7%,9,0.82,6.94,5,53.76,60,5,18
Spring ,Jun,Sun,04 June 2023,Birmingham,Facebook,Desktop,Collection,440.70,1.3%,6,0.98,5.43,1,108.19,19,5,8
Spring ,Jun,Mon,05 June 2023,Birmingham,Facebook,Desktop,Collection,723.20,1.2%,9,1.44,12.68,4,9.60,29,1,0
Spring ,Jun,Tue,06 June 2023,Birmingham,Facebook,Desktop,Collection,950.50,1.1%,10,0.92,9.36,6,55.78,30,5,2
Spring ,Jun,Wed,07 June 2023,Birmingham,Facebook,Desktop,Collection,848.90,1.7%,14,0.74,10.43,6,157.92,48,26,0
Spring ,Jun,Thu,08 June 2023,Birmingham,Facebook,Desktop,Collection,663.80,1.7%,11,1.48,16.35,4,290.30,46,3,8
Spring ,Jun,Fri,09 June 2023,Birmingham,Facebook,Desktop,Collection,727.30,1.2%,9,1.08,9.28,4,222.43,57,10,2
Spring ,Jun,Sat,10 June 2023,Birmingham,Facebook,Desktop,Collection,588.10,1.4%,8,1.41,11.90,7,104.16,30,25,14
Spring ,Jun,Sun,11 June 2023,Birmingham,Facebook,Desktop,Collection,369.30,1.4%,5,0.94,4.81,5,48.38,59,4,12
Spring ,Jun,Mon,12 June 2023,Birmingham,Facebook,Desktop,Collection,440.40,1.5%,7,0.66,4.42,2,144.48,37,27,12
Spring ,Jun,Tue,13 June 2023,Birmingham,Facebook,Desktop,Collection,779.80,1.3%,10,1.51,14.92,3,13.44,34,21,2
Spring ,Jun,Wed,14 June 2023,Birmingham,Facebook,Desktop,Collection,504.50,1.5%,8,1.14,8.62,1,73.25,42,9,9
Spring ,Jun,Thu,15 June 2023,Birmingham,Facebook,Desktop,Collection,476.00,1.3%,6,0.21,1.24,4,41.28,23,22,3
Spring ,Jun,Fri,16 June 2023,Birmingham,Facebook,Desktop,Collection,232.30,1.2%,3,0.70,1.89,3,4.80,64,3,17
Spring ,Jun,Sat,17 June 2023,Birmingham,Facebook,Desktop,Collection,555.00,1.4%,8,0.75,5.97,5,181.44,73,22,2
Spring ,Jun,Sun,18 June 2023,Birmingham,Facebook,Desktop,Collection,461.90,1.7%,8,1.15,9.03,5,105.50,58,22,14
Spring ,Jun,Mon,19 June 2023,Birmingham,Facebook,Desktop,Collection,439.90,1.2%,5,1.53,8.28,3,2.88,62,6,8
Spring ,Jun,Tue,20 June 2023,Birmingham,Facebook,Desktop,Collection,1030.90,1.7%,17,0.93,15.94,4,85.34,34,19,8
Spring ,Jun,Wed,21 June 2023,Birmingham,Facebook,Desktop,Collection,406.40,1.5%,6,0.70,4.33,6,51.84,32,7,8
Spring ,Jun,Thu,22 June 2023,Birmingham,Facebook,Desktop,Collection,562.20,1.4%,8,0.77,6.02,3,10.56,53,13,18
Spring ,Jun,Fri,23 June 2023,Birmingham,Facebook,Desktop,Collection,242.70,1.2%,3,0.60,1.79,1,3.84,67,10,12
Spring ,Jun,Sat,24 June 2023,Birmingham,Facebook,Desktop,Collection,986.00,1.5%,14,0.59,8.50,4,168.00,52,21,8
Spring ,Jun,Sun,25 June 2023,Birmingham,Facebook,Desktop,Collection,345.40,1.1%,4,0.79,2.93,4,121.63,75,16,5
Spring ,Jun,Mon,26 June 2023,Birmingham,Facebook,Desktop,Collection,538.90,1.3%,7,0.67,4.67,4,48.00,58,8,11
Spring ,Jun,Tue,27 June 2023,Birmingham,Facebook,Desktop,Collection,301.80,1.2%,4,0.92,3.44,4,263.42,28,1,12
Spring ,Jun,Wed,28 June 2023,Birmingham,Facebook,Desktop,Collection,926.50,1.7%,15,0.66,10.08,3,116.26,35,18,5
Spring ,Jun,Thu,29 June 2023,Birmingham,Facebook,Desktop,Collection,368.60,1.3%,5,1.12,5.30,5,16.32,28,17,6
Spring ,Jun,Fri,30 June 2023,Birmingham,Facebook,Desktop,Collection,518.30,1.1%,6,0.70,4.00,6,69.22,58,13,6
Spring ,Jul,Sat,01 July 2023,Birmingham,Facebook,Desktop,Collection,929.70,1.5%,14,1.12,15.76,7,16.32,26,7,2
Spring ,Jul,Sun,02 July 2023,Birmingham,Facebook,Desktop,Collection,497.30,1.4%,7,0.17,1.16,3,75.94,73,17,20
Spring ,Jul,Mon,03 July 2023,Birmingham,Facebook,Desktop,Collection,661.50,1.7%,12,0.72,8.34,1,104.83,74,7,14
Spring ,Jul,Tue,04 July 2023,Birmingham,Facebook,Desktop,Collection,449.10,1.3%,6,1.12,6.71,6,25.92,55,2,12
Spring ,Jul,Wed,05 July 2023,Birmingham,Facebook,Desktop,Collection,574.80,1.2%,7,1.06,7.24,4,61.15,43,4,3
Spring ,Jul,Thu,06 July 2023,Birmingham,Facebook,Desktop,Collection,399.70,1.5%,6,1.02,6.01,5,65.86,71,21,9
Spring ,Jul,Fri,07 July 2023,Birmingham,Facebook,Desktop,Collection,418.80,1.6%,7,0.43,2.78,2,49.92,44,19,9
Spring ,Jul,Sat,08 July 2023,Birmingham,Facebook,Desktop,Collection,1133.20,1.5%,17,0.85,14.37,5,21.12,34,14,18
Spring ,Jul,Sun,09 July 2023,Birmingham,Facebook,Desktop,Collection,915.10,1.4%,13,1.08,14.05,6,21.12,19,13,12
Spring ,Jul,Mon,10 July 2023,Birmingham,Facebook,Desktop,Collection,475.40,1.5%,7,1.53,10.98,4,10.56,61,14,14
Spring ,Jul,Tue,11 July 2023,Birmingham,Facebook,Desktop,Collection,423.60,1.3%,5,0.59,3.20,6,158.59,78,28,15
Spring ,Jul,Wed,12 July 2023,Birmingham,Facebook,Desktop,Collection,418.50,1.1%,5,1.23,5.61,2,48.38,74,14,18
Spring ,Jul,Thu,13 July 2023,Birmingham,Facebook,Desktop,Collection,975.10,1.3%,13,0.82,10.27,5,30.72,77,14,6
Spring ,Jul,Fri,14 July 2023,Birmingham,Facebook,Desktop,Collection,485.00,1.8%,8,1.40,11.91,3,57.12,48,2,3
Spring ,Jul,Sat,15 July 2023,Birmingham,Facebook,Desktop,Collection,797.80,1.3%,10,1.64,17.19,3,105.50,52,27,2
Spring ,Jul,Sun,16 July 2023,Birmingham,Facebook,Desktop,Collection,776.10,1.2%,9,1.09,9.75,5,57.12,39,3,8
Spring ,Jul,Mon,17 July 2023,Birmingham,Facebook,Desktop,Collection,277.20,1.8%,5,0.68,3.31,0,58.46,25,14,9
Spring ,Jul,Tue,18 July 2023,Birmingham,Facebook,Desktop,Collection,632.60,1.4%,9,0.41,3.77,1,108.86,77,26,18
Spring ,Jul,Wed,19 July 2023,Birmingham,Facebook,Desktop,Collection,603.60,1.2%,7,0.52,3.87,2,55.78,28,27,15
Spring ,Jul,Thu,20 July 2023,Birmingham,Facebook,Desktop,Collection,930.80,1.2%,12,0.24,2.79,1,56.45,65,5,11
Spring ,Jul,Fri,21 July 2023,Birmingham,Facebook,Desktop,Collection,523.00,1.5%,8,0.72,5.72,0,87.36,73,32,3
Spring ,Jul,Sat,22 July 2023,Birmingham,Facebook,Desktop,Collection,805.00,1.4%,11,0.26,3.02,1,17.28,56,27,0
Spring ,Jul,Sun,23 July 2023,Birmingham,Facebook,Desktop,Collection,759.50,1.1%,9,1.55,13.32,1,95.42,68,24,6
Spring ,Jul,Mon,24 July 2023,Birmingham,Facebook,Desktop,Collection,808.30,1.7%,14,0.43,5.85,0,55.78,53,9,5
Spring ,Jul,Tue,25 July 2023,Birmingham,Facebook,Desktop,Collection,634.90,1.6%,10,0.37,3.79,2,53.76,60,4,8
Spring ,Jul,Wed,26 July 2023,Birmingham,Facebook,Desktop,Collection,433.20,1.4%,6,1.12,6.57,2,59.14,55,14,3
Spring ,Jul,Thu,27 July 2023,Birmingham,Facebook,Desktop,Collection,264.30,1.4%,4,0.07,0.25,3,92.06,56,19,9
Spring ,Jul,Fri,28 July 2023,Birmingham,Facebook,Desktop,Collection,358.20,1.6%,6,1.21,6.88,2,182.11,32,3,6
Spring ,Jul,Sat,29 July 2023,Birmingham,Facebook,Desktop,Collection,596.50,1.6%,10,1.43,13.69,1,22.08,65,17,5
Spring ,Jul,Sun,30 July 2023,Birmingham,Facebook,Desktop,Collection,860.50,1.8%,15,1.17,17.66,1,186.14,54,23,2
Spring ,Jul,Mon,31 July 2023,Birmingham,Facebook,Desktop,Collection,712.00,1.3%,9,0.64,5.78,1,171.36,52,24,14
Spring ,Aug,Tue,01 August 2023,Birmingham,Facebook,Desktop,Collection,336.90,1.2%,4,1.10,4.50,1,54.43,44,7,3
Spring ,Aug,Wed,02 August 2023,Birmingham,Facebook,Desktop,Collection,805.90,1.5%,12,1.33,16.02,5,104.83,49,14,9
Spring ,Aug,Thu,03 August 2023,Birmingham,Facebook,Desktop,Collection,550.20,1.8%,10,0.81,7.75,2,146.50,69,13,14
Spring ,Aug,Fri,04 August 2023,Birmingham,Facebook,Desktop,Collection,1099.60,1.1%,12,1.01,12.24,3,63.17,28,3,6
Spring ,Aug,Sat,05 August 2023,Birmingham,Facebook,Desktop,Collection,1105.20,1.4%,15,0.08,1.25,0,41.28,47,23,11
Spring ,Aug,Sun,06 August 2023,Birmingham,Facebook,Desktop,Collection,651.20,1.6%,10,0.75,7.79,2,54.43,30,24,0
Spring ,Aug,Mon,07 August 2023,Birmingham,Facebook,Desktop,Collection,236.00,1.2%,3,1.30,3.65,3,214.37,72,22,8
Spring ,Aug,Tue,08 August 2023,Birmingham,Facebook,Desktop,Collection,828.50,1.1%,9,1.36,12.59,3,67.87,66,25,15
Spring ,Aug,Wed,09 August 2023,Birmingham,Facebook,Desktop,Collection,691.90,1.7%,11,1.23,14.13,2,11.52,54,9,11
Spring ,Aug,Thu,10 August 2023,Birmingham,Facebook,Desktop,Collection,846.80,1.5%,12,1.06,13.17,2,278.21,54,15,5
Spring ,Aug,Fri,11 August 2023,Birmingham,Facebook,Desktop,Collection,1045.80,1.7%,17,0.43,7.34,3,103.49,30,11,6
Spring ,Aug,Sat,12 August 2023,Birmingham,Facebook,Desktop,Collection,931.90,1.4%,13,1.09,14.15,2,301.06,54,12,6
Spring ,Aug,Sun,13 August 2023,Birmingham,Facebook,Desktop,Collection,564.80,1.2%,7,1.31,8.66,2,48.96,68,0,12
Spring ,Aug,Mon,14 August 2023,Birmingham,Facebook,Desktop,Collection,634.00,1.7%,10,1.45,15.16,3,408.58,36,2,5
Spring ,Aug,Tue,15 August 2023,Birmingham,Facebook,Desktop,Collection,615.00,1.5%,9,0.87,8.28,2,242.59,55,6,9
Spring ,Aug,Wed,16 August 2023,Birmingham,Facebook,Desktop,Collection,373.50,1.7%,6,0.78,5.02,1,293.66,65,22,11
Spring ,Aug,Thu,17 August 2023,Birmingham,Facebook,Desktop,Collection,858.80,1.6%,14,1.15,16.20,4,55.10,67,28,9
Spring ,Aug,Fri,18 August 2023,Birmingham,Facebook,Desktop,Collection,750.60,1.6%,12,0.67,8.21,2,84.00,65,17,8
Spring ,Aug,Sat,19 August 2023,Birmingham,Facebook,Desktop,Collection,477.80,1.3%,6,1.38,8.51,1,73.92,59,7,8
Spring ,Aug,Sun,20 August 2023,Birmingham,Facebook,Desktop,Collection,916.80,1.3%,12,1.53,18.09,1,24.96,42,26,8
Spring ,Aug,Mon,21 August 2023,Birmingham,Facebook,Desktop,Collection,944.60,1.1%,10,0.28,2.74,3,274.85,66,6,2
Spring ,Aug,Tue,22 August 2023,Birmingham,Facebook,Desktop,Collection,663.70,1.6%,10,0.47,4.91,2,233.18,20,23,5
Spring ,Aug,Wed,23 August 2023,Birmingham,Facebook,Desktop,Collection,452.70,1.6%,7,1.43,10.14,5,33.60,78,18,5
Spring ,Aug,Thu,24 August 2023,Birmingham,Facebook,Desktop,Collection,947.60,1.4%,13,1.06,14.24,2,34.56,49,27,11
Spring ,Aug,Fri,25 August 2023,Birmingham,Facebook,Desktop,Collection,530.20,1.8%,9,0.31,2.95,3,180.77,39,30,12
Spring ,Aug,Sat,26 August 2023,Birmingham,Facebook,Desktop,Collection,832.70,1.4%,12,0.32,3.83,1,137.09,69,16,5
Spring ,Aug,Sun,27 August 2023,Birmingham,Facebook,Desktop,Collection,918.50,1.5%,13,0.24,3.24,2,6.72,47,19,11
Spring ,Aug,Mon,28 August 2023,Birmingham,Facebook,Desktop,Collection,323.20,1.8%,6,0.41,2.34,5,3.84,29,29,3
Spring ,Aug,Tue,29 August 2023,Birmingham,Facebook,Desktop,Collection,563.20,1.1%,6,0.45,2.65,0,16.32,41,22,15
Spring ,Aug,Wed,30 August 2023,Birmingham,Facebook,Desktop,Collection,424.50,1.5%,6,0.22,1.39,2,55.10,32,8,0
Spring ,Aug,Thu,31 August 2023,Birmingham,Facebook,Desktop,Collection,606.40,1.1%,7,0.75,5.03,2,103.49,64,26,8
Spring ,Sep,Fri,01 September 2023,Birmingham,Facebook,Desktop,Collection,1841.00,1.7%,32,0.86,27.31,1,67.20,71,6,6
Spring ,Sep,Sat,02 September 2023,Birmingham,Facebook,Desktop,Collection,2138.00,1.3%,27,1.02,27.35,0,93.41,73,19,9
Spring ,Sep,Sun,03 September 2023,Birmingham,Facebook,Desktop,Collection,1448.00,1.8%,26,0.38,10.00,1,92.06,74,21,3
Spring ,Sep,Mon,04 September 2023,Birmingham,Facebook,Desktop,Collection,1442.00,1.9%,27,1.66,44.42,2,57.79,55,35,12
Spring ,Sep,Tue,05 September 2023,Birmingham,Facebook,Desktop,Collection,1497.00,1.1%,17,1.00,16.63,3,171.36,68,6,0
Spring ,Sep,Wed,06 September 2023,Birmingham,Facebook,Desktop,Collection,1581.00,1.4%,22,1.31,28.60,0,26.88,86,18,8
Spring ,Sep,Thu,07 September 2023,Birmingham,Facebook,Desktop,Collection,1741.00,1.1%,20,1.24,24.65,2,42.34,52,32,11
Spring ,Sep,Fri,08 September 2023,Birmingham,Facebook,Desktop,Collection,1396.00,1.9%,26,0.97,25.22,2,174.05,33,34,6
Spring ,Sep,Sat,09 September 2023,Birmingham,Facebook,Desktop,Collection,2363.00,1.9%,46,0.23,10.49,2,305.09,44,23,8
Spring ,Sep,Sun,10 September 2023,Birmingham,Facebook,Desktop,Collection,1312.00,1.2%,16,1.32,21.34,2,152.54,54,19,0
